Date,AAPL,GS,TSLA
2021-04-19,134.83999633789062,343.0899963378906,238.2100067138672
2021-04-20,133.11000061035156,331.8800048828125,239.663330078125
2021-04-21,133.5,335.2699890136719,248.0399932861328
2021-04-22,131.94000244140625,330.8500061035156,239.89666748046875
2021-04-23,134.32000732421875,339.3500061035156,243.13333129882812
2021-04-26,134.72000122070312,343.5199890136719,246.06666564941406
2021-04-27,134.38999938964844,346.6300048828125,234.913330078125
2021-04-28,133.5800018310547,348.1099853515625,231.46665954589844
2021-04-29,133.47999572753906,352.9700012207031,225.6666717529297
2021-04-30,131.4600067138672,348.45001220703125,236.47999572753906
2021-05-03,132.5399932861328,350.1600036621094,228.3000030517578
2021-05-04,127.8499984741211,349.8399963378906,224.53334045410156
2021-05-05,128.10000610351562,357.6199951171875,223.64666748046875
2021-05-06,129.74000549316406,365.9700012207031,221.17999267578125
2021-05-07,130.2100067138672,370.8900146484375,224.1233367919922
2021-05-10,126.8499984741211,368.67999267578125,209.67999267578125
2021-05-11,125.91000366210938,359.9200134277344,205.73333740234375
2021-05-12,122.7699966430664,354.3999938964844,196.6300048828125
2021-05-13,124.97000122070312,358.80999755859375,190.56333923339844
2021-05-14,127.44999694824219,368.7699890136719,196.5800018310547
2021-05-17,126.2699966430664,369.25,192.27667236328125
2021-05-18,124.8499984741211,364.55999755859375,192.6233367919922
2021-05-19,124.69000244140625,358.3800048828125,187.82000732421875
2021-05-20,127.30999755859375,359.7799987792969,195.5933380126953
2021-05-21,125.43000030517578,366.260009765625,193.6266632080078
2021-05-24,127.0999984741211,368.2900085449219,202.14666748046875
2021-05-25,126.9000015258789,364.510009765625,201.56333923339844
2021-05-26,126.8499984741211,367.3999938964844,206.3766632080078
2021-05-27,125.27999877929688,371.3699951171875,210.28334045410156
2021-05-28,124.61000061035156,372.0199890136719,208.4066619873047
2021-06-01,124.27999877929688,382.44000244140625,207.96665954589844
2021-06-02,125.05999755859375,383.44000244140625,201.7066650390625
2021-06-03,123.54000091552734,388.7200012207031,190.94667053222656
2021-06-04,125.88999938964844,391.45001220703125,199.68333435058594
2021-06-07,125.9000015258789,388.1600036621094,201.7100067138672
2021-06-08,126.73999786376953,384.70001220703125,201.19667053222656
2021-06-09,127.12999725341797,382.7799987792969,199.5933380126953
2021-06-10,126.11000061035156,373.94000244140625,203.3733367919922
2021-06-11,127.3499984741211,378.04998779296875,203.29666137695312
2021-06-14,130.47999572753906,372.9200134277344,205.89666748046875
2021-06-15,129.63999938964844,371.29998779296875,199.7866668701172
2021-06-16,130.14999389648438,371.0,201.6233367919922
2021-06-17,131.7899932861328,361.5,205.53334045410156
2021-06-18,130.4600067138672,348.8299865722656,207.77000427246094
2021-06-21,132.3000030517578,357.5400085449219,206.94332885742188
2021-06-22,133.97999572753906,357.5299987792969,207.90333557128906
2021-06-23,133.6999969482422,361.04998779296875,218.85667419433594
2021-06-24,133.41000366210938,368.75,226.60667419433594
2021-06-25,133.11000061035156,368.7699890136719,223.9566650390625
2021-06-28,134.77999877929688,368.7099914550781,229.57333374023438
2021-06-29,136.3300018310547,372.6199951171875,226.9199981689453
2021-06-30,136.9600067138672,379.5299987792969,226.56666564941406
2021-07-01,137.27000427246094,374.989990234375,225.97332763671875
2021-07-02,139.9600067138672,374.1600036621094,226.3000030517578
2021-07-06,142.02000427246094,369.8599853515625,219.86000061035156
2021-07-07,144.57000732421875,367.6700134277344,214.88333129882812
2021-07-08,143.24000549316406,358.94000244140625,217.60333251953125
2021-07-09,145.11000061035156,371.760009765625,218.98333740234375
2021-07-12,144.5,380.5,228.56666564941406
2021-07-13,145.63999938964844,375.9800109863281,222.84666442871094
2021-07-14,149.14999389648438,374.3999938964844,217.7933349609375
2021-07-15,148.47999572753906,373.3500061035156,216.86666870117188
2021-07-16,146.38999938964844,364.79998779296875,214.74000549316406
2021-07-19,142.4499969482422,354.7200012207031,215.4066619873047
2021-07-20,146.14999389648438,364.760009765625,220.1666717529297
2021-07-21,145.39999389648438,373.5,218.42999267578125
2021-07-22,146.8000030517578,372.7099914550781,216.4199981689453
2021-07-23,148.55999755859375,374.04998779296875,214.4600067138672
2021-07-26,148.99000549316406,375.8999938964844,219.2066650390625
2021-07-27,146.77000427246094,374.8399963378906,214.92666625976562
2021-07-28,144.97999572753906,374.2300109863281,215.66000366210938
2021-07-29,145.63999938964844,377.54998779296875,225.78334045410156
2021-07-30,145.86000061035156,374.8800048828125,229.06666564941406
2021-08-02,145.52000427246094,378.19000244140625,236.55667114257812
2021-08-03,147.36000061035156,380.3599853515625,236.5800018310547
2021-08-04,146.9499969482422,377.8599853515625,236.97332763671875
2021-08-05,147.05999755859375,384.29998779296875,238.2100067138672
2021-08-06,146.13999938964844,397.8900146484375,233.03334045410156
2021-08-09,146.08999633789062,399.8800048828125,237.9199981689453
2021-08-10,145.60000610351562,407.9700012207031,236.663330078125
2021-08-11,145.86000061035156,413.8900146484375,235.94000244140625
2021-08-12,148.88999938964844,415.0,240.75
2021-08-13,149.10000610351562,410.7799987792969,239.05667114257812
2021-08-16,151.1199951171875,408.3500061035156,228.72332763671875
2021-08-17,150.19000244140625,404.9700012207031,221.90333557128906
2021-08-18,146.36000061035156,398.79998779296875,229.663330078125
2021-08-19,146.6999969482422,393.57000732421875,224.49000549316406
2021-08-20,148.19000244140625,395.8699951171875,226.75332641601562
2021-08-23,149.7100067138672,401.45001220703125,235.43333435058594
2021-08-24,149.6199951171875,408.55999755859375,236.163330078125
2021-08-25,148.36000061035156,413.1199951171875,237.06666564941406
2021-08-26,147.5399932861328,412.4100036621094,233.72000122070312
2021-08-27,148.60000610351562,419.69000244140625,237.30667114257812
2021-08-30,153.1199951171875,413.6000061035156,243.6366729736328
2021-08-31,151.8300018310547,413.510009765625,245.24000549316406
2021-09-01,152.50999450683594,413.6600036621094,244.69667053222656
2021-09-02,153.64999389648438,414.5,244.1300048828125
2021-09-03,154.3000030517578,411.30999755859375,244.52333068847656
2021-09-07,156.69000244140625,410.32000732421875,250.97332763671875
2021-09-08,155.11000061035156,405.0,251.2899932861328
2021-09-09,154.07000732421875,404.5799865722656,251.6199951171875
2021-09-10,148.97000122070312,403.4800109863281,245.42333984375
2021-09-13,149.5500030517578,409.260009765625,247.6666717529297
2021-09-14,148.1199951171875,403.69000244140625,248.163330078125
2021-09-15,149.02999877929688,401.95001220703125,251.94332885742188
2021-09-16,148.7899932861328,396.67999267578125,252.3300018310547
2021-09-17,146.05999755859375,391.4599914550781,253.163330078125
2021-09-20,142.94000244140625,378.1300048828125,243.38999938964844
2021-09-21,143.42999267578125,375.8399963378906,246.4600067138672
2021-09-22,145.85000610351562,385.4700012207031,250.64666748046875
2021-09-23,146.8300018310547,391.8599853515625,251.2133331298828
2021-09-24,146.9199981689453,390.8500061035156,258.1300048828125
2021-09-27,145.3699951171875,399.80999755859375,263.78668212890625
2021-09-28,141.91000366210938,389.5,259.1866760253906
2021-09-29,142.8300018310547,384.8900146484375,260.4366760253906
2021-09-30,141.5,378.0299987792969,258.49334716796875
2021-10-01,142.64999389648438,380.0,258.40667724609375
2021-10-04,139.13999938964844,374.1499938964844,260.510009765625
2021-10-05,141.11000061035156,385.80999755859375,260.1966552734375
2021-10-06,142.0,388.04998779296875,260.9166564941406
2021-10-07,143.2899932861328,390.6199951171875,264.53668212890625
2021-10-08,142.89999389648438,392.80999755859375,261.8299865722656
2021-10-11,142.80999755859375,385.239990234375,263.9800109863281
2021-10-12,141.50999450683594,386.5299987792969,268.5733337402344
2021-10-13,140.91000366210938,386.30999755859375,270.3599853515625
2021-10-14,143.75999450683594,391.20001220703125,272.7733459472656
2021-10-15,144.83999633789062,406.07000732421875,281.010009765625
2021-10-18,146.5500030517578,413.69000244140625,290.03668212890625
2021-10-19,148.75999450683594,412.1600036621094,288.0899963378906
2021-10-20,149.25999450683594,407.8900146484375,288.6000061035156
2021-10-21,149.47999572753906,407.5899963378906,298.0
2021-10-22,148.69000244140625,414.32000732421875,303.2266540527344
2021-10-25,148.63999938964844,414.75,341.6199951171875
2021-10-26,149.32000732421875,417.6099853515625,339.4766540527344
2021-10-27,148.85000610351562,410.989990234375,345.9533386230469
2021-10-28,152.57000732421875,414.82000732421875,359.0133361816406
2021-10-29,149.8000030517578,413.3500061035156,371.3333435058594
2021-11-01,148.9600067138672,416.70001220703125,402.86334228515625
2021-11-02,150.02000427246094,423.8500061035156,390.6666564941406
2021-11-03,151.49000549316406,417.8999938964844,404.6199951171875
2021-11-04,150.9600067138672,408.07000732421875,409.9700012207031
